# Expt,Accuracy,Rank
5312018051720.0,0.5172972972972973,52.0
5312018051721.0,0.4663063063063063,10.0
5312018051722.0,0.4985585585585586,26.0
5312018051723.0,0.41809009009009007,1.0
5312018051724.0,0.4931891891891892,32.0
5312018051725.0,0.47214414414414413,10.0
5312018051728.0,0.45823423423423426,11.0
5312018051731.0,0.5310630630630631,67.0
5312018051732.0,0.5177297297297297,64.0
5312018051736.0,0.4959639639639639,27.0
5312018051742.0,0.4584144144144144,10.0
5312018051802.0,0.5625,95.0
5312018051803.0,0.6525,100.0
5312018051804.0,0.5974999999999999,100.0
5312018051807.0,0.515,55.0
5312018051809.0,0.6625,100.0
5312018051810.0,0.49750000000000005,36.0
5312018051811.0,0.5924999999999999,97.0
5312018051812.0,0.5449999999999999,91.0
5312018051813.0,0.5299999999999999,72.0
5312018051814.0,0.675,100.0
5312018051817.0,0.5974999999999999,100.0
5312018051819.0,0.5275000000000001,74.0
5312018051821.0,0.545,88.0
5312018051823.0,0.62,100.0
5312018051828.0,0.5225000000000001,63.0
5312018051829.0,0.6325000000000001,100.0
5312018051830.0,0.6100000000000001,100.0
5312018051838.0,0.5375,82.5
5312018051840.0,0.5525,92.0
5312018051841.0,0.5725,98.0
5312018051842.0,0.5325,80.0
5312018051843.0,0.4574999999999999,6.0
5312018051844.0,0.5449999999999999,82.0
5882018082802.0,0.5271450459652707,72.0
5882018082804.0,0.5182584269662922,64.0
5882018082805.0,0.7328651685393258,100.0
5882018082806.0,0.4931307456588355,28.0
5882018082815.0,0.5927477017364657,99.0
5882018082825.0,0.5204034729315629,61.0
5882018082830.0,0.5907303370786516,100.0
5882018082831.0,0.5453013278855976,86.0
5882018082832.0,0.5364402451481103,84.0
5882018082838.0,0.511338100102145,51.0
5882018083104.0,0.5059250818971657,45.5
5882018083105.0,0.5990457199829085,100.0
5882018083111.0,0.5583819968665431,98.0
5882018090402.0,0.5208991228070176,72.0
5882018090404.0,0.5250657894736842,69.0
5882018090405.0,0.5082236842105263,44.0
5882018090407.0,0.48949561403508773,23.0
5882018090410.0,0.4498464912280702,2.0
5882018090411.0,0.5166666666666666,63.0
5882018090412.0,0.4874561403508773,24.0
5882018090413.0,0.5626754385964912,98.0
5882018090415.0,0.5271271929824561,63.0
5882018090420.0,0.5438815789473684,88.0
5882018090422.0,0.46853070175438594,10.0
5882018090423.0,0.5315131578947369,80.0
5882018090424.0,0.4769956140350877,16.0
5882018090427.0,0.5376754385964911,78.0
5882018090429.0,0.5063596491228071,43.0
5882018090430.0,0.5355043859649122,78.0
5882018090431.0,0.558640350877193,96.0
5882018090432.0,0.5355263157894736,74.0
5882018090434.0,0.566951754385965,97.0
5882018090435.0,0.5334868421052631,76.0
5882018090436.0,0.550438596491228,91.0
5882018090437.0,0.4854824561403509,19.0
5882018090439.0,0.49565789473684213,34.0
5882018090444.0,0.5103070175438597,56.0
5882018090446.0,0.5083991228070175,62.0
5882018090450.0,0.45184210526315793,3.0
5882018090453.0,0.5523464912280702,96.0
5882018090454.0,0.512609649122807,56.0
5882018090455.0,0.5147149122807018,66.0
5882018090605.0,0.5746055123080159,100.0
5882018090607.0,0.611424363559857,100.0
5882018090609.0,0.67294340416579,100.0
5882018090616.0,0.5337260677466863,73.0
5882018090618.0,0.5745423942772986,99.0
5882018090623.0,0.5724594992636229,99.0
5882018090624.0,0.6480117820324006,100.0
5882018090625.0,0.548074900063118,93.0
5882018091101.0,0.5508771929824562,68.0
